StyleNo,Brand,Name,Color,Upper,Desc,Sole,HSSCode,Origin,NettKG,SafetyISO,Properties,Sizing,Size,Price,VAT,Stock,EAN13,Alias,Clearance,NextDue
B 1881A,ROUTE 21,MONTY,Black,PU,4 Eyelet Apron Boat Shoe,TPR Sole,64029991,CN,0.728,,,UK,5,8.75,Z,20,5050703657334,,,N,SEPB
B 1881A,ROUTE 21,MONTY,Black,PU,4 Eyelet Apron Boat Shoe,TPR Sole,64029991,CN,0.728,,,UK,6,8.75,Z,20,5050703657341,,,N,SEPB
B 370A,GOOR,,Black,PU,5 Eye Brogue Oxford Shoe,Resin Sole,64029991,CN,0.508,,,UK,10,13.95,Z,11,5050703483117,,,N,
B 370A,GOOR,,Black,PU,5 Eye Brogue Oxford Shoe,Resin Sole,64029991,CN,0.508,,,UK,11,13.95,Z,20,5050703483124,,,N,
B 370A,GOOR,,Black,PU,5 Eye Brogue Oxford Shoe,Resin Sole,64029991,CN,0.508,,,UK,12,13.95,Z,20,5050703483131,,,N,
B 370A,GOOR,,Black,PU,5 Eye Brogue Oxford Shoe,Resin Sole,64029991,CN,0.508,,,UK,13,13.95,Z,20,5050703460729,,,N,
B 370A,GOOR,,Black,PU,5 Eye Brogue Oxford Shoe,Resin Sole,64029991,CN,0.508,,,UK,1,13.95,Z,20,5050703460668,,,N,
B 370A,GOOR,,Black,PU,5 Eye Brogue Oxford Shoe,Resin Sole,64029991,CN,0.508,,,UK,2,13.95,Z,20,5050703460675,,,N,
B 370A,GOOR,,Black,PU,5 Eye Brogue Oxford Shoe,Resin Sole,64029991,CN,0.508,,,UK,3,13.95,Z,20,5050703460682,,,N,AUGB
B 370A,GOOR,,Black,PU,5 Eye Brogue Oxford Shoe,Resin Sole,64029991,CN,0.508,,,UK,4,13.95,Z,20,5050703460699,,,N,AUGB
B 370A,GOOR,,Black,PU,5 Eye Brogue Oxford Shoe,Resin Sole,64029991,CN,0.508,,,UK,5,13.95,Z,20,5050703460705,,,N,AUGB
B 370A,GOOR,,Black,PU,5 Eye Brogue Oxford Shoe,Resin Sole,64029991,CN,0.508,,,UK,5.5,13.95,Z,6,5050703460712,,,N,AUGB
B 407A,ROUTE 21,,Black,PU,Touch Fastening / Elastic Lace Trainer Shoe,TPR Sole,64029991,CN,0.376,,,UK,8,7.49,Z,16,5050703642453,,,N,
B 407A,ROUTE 21,,Black,PU,Touch Fastening / Elastic Lace Trainer Shoe,TPR Sole,64029991,CN,0.376,,,UK,9,7.49,Z,7,5050703642460,,,N,
B 407A,ROUTE 21,,Black,PU,Touch Fastening / Elastic Lace Trainer Shoe,TPR Sole,64029991,CN,0.376,,,UK,10,7.49,Z,20,5050703642477,,,N,
B 407A,ROUTE 21,,Black,PU,Touch Fastening / Elastic Lace Trainer Shoe,TPR Sole,64029991,CN,0.376,,,UK,11,7.49,Z,20,5050703642484,,,N,
B 407A,ROUTE 21,,Black,PU,Touch Fastening / Elastic Lace Trainer Shoe,TPR Sole,64029991,CN,0.376,,,UK,12,7.49,Z,20,5050703642491,,,N,
B 407A,ROUTE 21,,Black,PU,Touch Fastening / Elastic Lace Trainer Shoe,TPR Sole,64029991,CN,0.376,,,UK,13,7.49,Z,20,5050703642507,,,N,
B 407A,ROUTE 21,,Black,PU,Touch Fastening / Elastic Lace Trainer Shoe,TPR Sole,64029991,CN,0.376,,,UK,1,7.49,Z,20,5050703642408,,,N,
B 407A,ROUTE 21,,Black,PU,Touch Fastening / Elastic Lace Trainer Shoe,TPR Sole,64029991,CN,0.376,,,UK,2,7.49,Z,20,5050703642415,,,N,
B 407A,ROUTE 21,,Black,PU,Touch Fastening / Elastic Lace Trainer Shoe,TPR Sole,64029991,CN,0.376,,,UK,3,7.49,Z,20,5050703642422,,,N,
B 407A,ROUTE 21,,Black,PU,Touch Fastening / Elastic Lace Trainer Shoe,TPR Sole,64029991,CN,0.376,,,UK,4,7.49,Z,0,5050703642439,,,N,
B 407A,ROUTE 21,,Black,PU,Touch Fastening / Elastic Lace Trainer Shoe,TPR Sole,64029991,CN,0.376,,,UK,5,7.49,Z,0,5050703642446,,,N,
B 410B,GOOR,,Tan,PU/Woven Textile,4 Eye Brogue Gibson Shoe,Wood Effect Resin Sole,64029991,CN,0.66,,,UK,10,13.95,Z,0,5050703576666,,,N,
B 410B,GOOR,,Tan,PU/Woven Textile,4 Eye Brogue Gibson Shoe,Wood Effect Resin Sole,64029991,CN,0.66,,,UK,11,13.95,Z,0,5050703576628,,,N,
B 410B,GOOR,,Tan,PU/Woven Textile,4 Eye Brogue Gibson Shoe,Wood Effect Resin Sole,64029991,CN,0.66,,,UK,12,13.95,Z,3,5050703576635,,,N,
B 410B,GOOR,,Tan,PU/Woven Textile,4 Eye Brogue Gibson Shoe,Wood Effect Resin Sole,64029991,CN,0.66,,,UK,13,13.95,Z,0,5050703576642,,,N,
B 410B,GOOR,,Tan,PU/Woven Textile,4 Eye Brogue Gibson Shoe,Wood Effect Resin Sole,64029991,CN,0.66,,,UK,1,13.95,Z,20,5050703576574,,,N,
B 410B,GOOR,,Tan,PU/Woven Textile,4 Eye Brogue Gibson Shoe,Wood Effect Resin Sole,64029991,CN,0.66,,,UK,2,13.95,Z,7,5050703576581,,,N,
B 410B,GOOR,,Tan,PU/Woven Textile,4 Eye Brogue Gibson Shoe,Wood Effect Resin Sole,64029991,CN,0.66,,,UK,3,13.95,Z,20,5050703576598,,,N,
B 410B,GOOR,,Tan,PU/Woven Textile,4 Eye Brogue Gibson Shoe,Wood Effect Resin Sole,64029991,CN,0.66,,,UK,4,13.95,Z,20,5050703576604,,,N,
B 410B,GOOR,,Tan,PU/Woven Textile,4 Eye Brogue Gibson Shoe,Wood Effect Resin Sole,64029991,CN,0.66,,,UK,5,13.95,Z,17,5050703576611,,,N,
B 410B,GOOR,,Tan,PU/Woven Textile,4 Eye Brogue Gibson Shoe,Wood Effect Resin Sole,64029991,CN,0.66,,,UK,5.5,13.95,Z,0,5050703576659,,,N,
B 424B,GOOR,,Dark Tan,Brushed PU,5 Eyelet Oxford Brogue Shoe,Unit Sole,64029991,CN,0.6,,,UK,10,9.95,Z,15,5050703594134,,,N,
B 424B,GOOR,,Dark Tan,Brushed PU,5 Eyelet Oxford Brogue Shoe,Unit Sole,64029991,CN,0.6,,,UK,11,9.95,Z,17,5050703594141,,,N,
B 424B,GOOR,,Dark Tan,Brushed PU,5 Eyelet Oxford Brogue Shoe,Unit Sole,64029991,CN,0.6,,,UK,12,9.95,Z,20,5050703594158,,,N,
B 424B,GOOR,,Dark Tan,Brushed PU,5 Eyelet Oxford Brogue Shoe,Unit Sole,64029991,CN,0.6,,,UK,13,9.95,Z,20,5050703594165,,,N,
B 424B,GOOR,,Dark Tan,Brushed PU,5 Eyelet Oxford Brogue Shoe,Unit Sole,64029991,CN,0.6,,,UK,1,9.95,Z,20,5050703594080,,,N,
B 424B,GOOR,,Dark Tan,Brushed PU,5 Eyelet Oxford Brogue Shoe,Unit Sole,64029991,CN,0.6,,,UK,2,9.95,Z,13,5050703594097,,,N,
B 424B,GOOR,,Dark Tan,Brushed PU,5 Eyelet Oxford Brogue Shoe,Unit Sole,64029991,CN,0.6,,,UK,3,9.95,Z,20,5050703594103,,,N,
B 424B,GOOR,,Dark Tan,Brushed PU,5 Eyelet Oxford Brogue Shoe,Unit Sole,64029991,CN,0.6,,,UK,4,9.95,Z,20,5050703594110,,,N,
