StyleNo,Brand,Name,Color,Upper,Desc,Sole,HSSCode,Origin,NettKG,SafetyISO,Properties,Sizing,Size,Price,VAT,Stock,EAN13,Alias,Clearance,NextDue
B 014LT,GOOR,,Tan,PU,5 Eyelet Brogue Oxford Shoe,Resin Sole,64029991,CN,0.562,,,UK,5.5,11.95,Z,0,5050703460798,,,N,OCTB
B 040F,PDQ,,Grey/Red,Synthetic Nubuck,Toggle/Touch Fastening Trail Sandal,TPR Sole,64029939,CN,0.51,,,UK,4,9.95,Z,2,5050703311021,,,N,
B 040F,PDQ,,Grey/Red,Synthetic Nubuck,Toggle/Touch Fastening Trail Sandal,TPR Sole,64029939,CN,0.51,,,UK,5,9.95,Z,11,5050703311038,,,N,
B 040F,PDQ,,Grey/Red,Synthetic Nubuck,Toggle/Touch Fastening Trail Sandal,TPR Sole,64029939,CN,0.51,,,UK,6,9.95,Z,20,5050703311045,,,N,
B 040NC,PDQ,,Navy,Synthetic Nubuck,Toggle/Touch Fastening Trail Sandal,TPR Sole,64029939,CN,0.51,,,UK,3,9.95,Z,0,5050703670463,,,N,JANB
B 040NC,PDQ,,Navy,Synthetic Nubuck,Toggle/Touch Fastening Trail Sandal,TPR Sole,64029939,CN,0.51,,,UK,4,9.95,Z,0,5050703670470,,,N,JANB
B 040NC,PDQ,,Navy,Synthetic Nubuck,Toggle/Touch Fastening Trail Sandal,TPR Sole,64029939,CN,0.51,,,UK,5,9.95,Z,0,5050703670487,,,N,JANB
B 040NC,PDQ,,Navy,Synthetic Nubuck,Toggle/Touch Fastening Trail Sandal,TPR Sole,64029939,CN,0.51,,,UK,6,9.95,Z,0,5050703670494,,,N,JANB
B 040T,PDQ,,Dark Taupe/Orange,Synthetic Nubuck,Toggle/Touch Fastening Trail Sandal,TPR Sole,64029939,CN,0.51,,,UK,4,9.95,Z,5,5050703310987,,,N,JANB
B 040T,PDQ,,Dark Taupe/Orange,Synthetic Nubuck,Toggle/Touch Fastening Trail Sandal,TPR Sole,64029939,CN,0.51,,,UK,5,9.95,Z,0,5050703310994,,,N,JANB
B 040T,PDQ,,Dark Taupe/Orange,Synthetic Nubuck,Toggle/Touch Fastening Trail Sandal,TPR Sole,64029939,CN,0.51,,,UK,6,9.95,Z,2,5050703311007,,,N,JANB
B 157A,ROUTE 21,,Black,Coated Action Leather,Apron Para Shoe,Wedge TR Sole,64039991,CN,0.58,,,UK,13,12.45,Z,12,5050703001502,,,N,
B 157A,ROUTE 21,,Black,Coated Action Leather,Apron Para Shoe,Wedge TR Sole,64039991,CN,0.58,,,UK,1,12.45,Z,20,5050703001403,,,N,
B 157A,ROUTE 21,,Black,Coated Action Leather,Apron Para Shoe,Wedge TR Sole,64039991,CN,0.58,,,UK,2,12.45,Z,0,5050703001410,,,N,FEBB
B 157A,ROUTE 21,,Black,Coated Action Leather,Apron Para Shoe,Wedge TR Sole,64039991,CN,0.58,,,UK,3,12.59,Z,20,5050703001427,,,N,FEBB
B 157A,ROUTE 21,,Black,Coated Action Leather,Apron Para Shoe,Wedge TR Sole,64039991,CN,0.58,,,UK,4,12.59,Z,20,5050703001434,,,N,FEBB
